"codigo_ibge","safra_soja","latitude","longitude","area_total","n_sinistros","n_apolices","sum_indenizacao_total","sum_total_premios","tipo_solo","awc_ana","area_total_irrigada_fertigada_percentual","X","PC_Prec_1","PC_Prec_2","PC_Prec_3","PC_Prec_4","PC_Temp_1","PC_Temp_2"
3500303,6,-22.0572,-46.9735,795.39,0,13,0,251802.95,"LVd",0.108810440108533,0.0780712611467698,503,1.59937450788089,2.11680128782855,0.624999636460452,0.10531470735712,1.9693650401417,1.3988188880288
3100807,1,-20.9439,-45.3915,0,0,0,0,NA,"CXbd",0.144717666428479,0.0284219677975331,506,2.16160070856138,-0.703968639450762,0.163029802174702,-0.496288699439515,1.25781908872297,0.915866448474994
3100807,2,-20.9439,-45.3915,0,0,0,0,NA,"CXbd",0.144717666428479,0.0284219677975331,507,1.41924395511553,0.561826192592241,0.430723783196893,0.0397853175784935,1.4015380075948,0.731866176194051
3100807,3,-20.9439,-45.3915,45,0,1,0,8300.29,"CXbd",0.144717666428479,0.0284219677975331,508,1.85223486034401,0.473162591441105,0.374355753282513,-0.397466069052712,1.90515746828486,1.16687237312228
3100807,4,-20.9439,-45.3915,170.74,0,1,0,17593.77,"CXbd",0.144717666428479,0.0284219677975331,509,1.38185279536689,0.143674804584934,0.471413470354719,1.59289301852235,1.50527738730603,0.497734062049838
3100807,5,-20.9439,-45.3915,173,0,1,0,20769.08,"CXbd",0.144717666428479,0.0284219677975331,510,3.01843974785205,-1.58948923147789,-0.026284705624716,-0.658224660487619,1.39924040929339,1.28179096346205
4200507,1,-27.0754,-52.9808,0,0,0,0,NA,"CXve",0.129714708239876,0.00028671574284465,530,-4.21743302890221,-2.77144612344308,2.70906872012496,0.157709489781547,1.64908250767709,-1.01609474800518
4200507,2,-27.0754,-52.9808,0,0,0,0,NA,"CXve",0.129714708239876,0.00028671574284465,531,-1.75205843437302,-1.62784200446843,-1.0493368070905,0.421122929185198,2.42088276012582,-1.41216497512221
4200507,6,-27.0754,-52.9808,5,0,1,0,3012.52,"CXve",0.129714708239876,0.00028671574284465,535,-0.0486169905713284,-0.00905351288747684,0.0204739830753781,-0.012986001435313,0.575468702676558,0.0409234992050548
3500550,1,-22.8812,-49.2421,342.99,0,3,0,45229.03,"LVef",0.0958834698584413,0.018407708630911,546,1.034088989043,-0.238836269617311,1.11763527216564,0.518052719561067,-0.329407237619287,-0.140010448997733
